created_at,entry_id,field1
2023-11-17 13:23:27+00:00,1,34.7
2023-11-17 14:25:19+00:00,2,33.6
2023-11-17 14:25:52+00:00,3,33.6
2023-11-17 14:26:26+00:00,4,32.6
2023-11-17 14:26:59+00:00,5,34.7
2023-11-17 14:27:53+00:00,6,35.7
2023-11-17 14:31:00+00:00,7,36.8
2023-11-17 18:26:58+00:00,8,24
2023-11-17 18:27:31+00:00,9,25.1
2023-11-17 18:28:05+00:00,10,26.2
2023-11-17 18:28:38+00:00,11,27.3
2023-11-17 18:29:11+00:00,12,28.3
2023-11-17 18:29:52+00:00,13,29.4
2023-11-17 18:30:37+00:00,14,30.4
2023-11-17 18:31:10+00:00,15,31.5
2023-11-17 18:31:43+00:00,16,32.6
2023-11-17 18:32:36+00:00,17,33.6
2023-11-17 18:33:09+00:00,18,34.7
2023-11-17 18:33:50+00:00,19,35.7
2023-11-17 18:36:41+00:00,20,36.8
2023-11-17 19:06:41+00:00,21,30.2
2023-11-17 19:36:41+00:00,22,34.9
2023-11-17 20:06:41+00:00,23,25.3
2023-11-17 20:36:41+00:00,24,29.8
2023-11-17 21:06:41+00:00,25,31.8
2023-11-17 21:36:41+00:00,26,28.9
2023-11-17 22:06:41+00:00,27,28.0
2023-11-17 22:36:41+00:00,28,31.8
2023-11-17 23:06:41+00:00,29,32.7
2023-11-17 23:36:41+00:00,30,36.6
2023-11-18 00:06:41+00:00,31,33.5
2023-11-18 00:36:41+00:00,32,32.5
2023-11-18 01:06:41+00:00,33,29.5
2023-11-18 01:36:41+00:00,34,27.9
2023-11-18 02:06:41+00:00,35,26.8
2023-11-18 02:36:41+00:00,36,33.7
2023-11-18 03:06:41+00:00,37,32.4
2023-11-18 03:36:41+00:00,38,27.0
2023-11-18 04:06:41+00:00,39,32.0
2023-11-18 04:36:41+00:00,40,26.6
2023-11-18 05:06:41+00:00,41,29.5
2023-11-18 05:36:41+00:00,42,33.1
2023-11-18 06:06:41+00:00,43,26.5
2023-11-18 06:36:41+00:00,44,26.8
2023-11-18 07:06:41+00:00,45,34.5
2023-11-18 07:36:41+00:00,46,20.3
2023-11-18 08:06:41+00:00,47,30.9
2023-11-18 08:36:41+00:00,48,37.4
2023-11-18 09:06:41+00:00,49,33.7
2023-11-18 09:36:41+00:00,50,33.8
2023-11-18 10:06:41+00:00,51,29.9
2023-11-18 10:36:41+00:00,52,26.5
2023-11-18 11:06:41+00:00,53,31.0
2023-11-18 11:36:41+00:00,54,31.5
2023-11-18 12:06:41+00:00,55,26.0
2023-11-18 12:36:41+00:00,56,32.4
2023-11-18 13:06:41+00:00,57,27.9
2023-11-18 13:36:41+00:00,58,36.7
2023-11-18 14:06:41+00:00,59,31.8
2023-11-18 14:36:41+00:00,60,30.1
2023-11-18 15:06:41+00:00,61,33.3
2023-11-18 15:36:41+00:00,62,30.1
2023-11-18 16:06:41+00:00,63,31.5
2023-11-18 16:36:41+00:00,64,31.6
2023-11-18 17:06:41+00:00,65,24.9
2023-11-18 17:36:41+00:00,66,32.1
2023-11-18 18:06:41+00:00,67,24.6
2023-11-18 18:36:41+00:00,68,36.6
2023-11-18 19:06:41+00:00,69,27.8
2023-11-18 19:36:41+00:00,70,33.0
2023-11-18 20:06:41+00:00,71,33.3
2023-11-18 20:36:41+00:00,72,30.0
2023-11-18 21:06:41+00:00,73,28.6
2023-11-18 21:36:41+00:00,74,27.7
2023-11-18 22:06:41+00:00,75,34.7
2023-11-18 22:36:41+00:00,76,31.7
2023-11-18 23:06:41+00:00,77,22.1
2023-11-18 23:36:41+00:00,78,24.8
2023-11-19 00:06:41+00:00,79,26.9
2023-11-19 00:36:41+00:00,80,24.1
2023-11-19 01:06:41+00:00,81,32.9
2023-11-19 01:36:41+00:00,82,32.5
2023-11-19 02:06:41+00:00,83,34.0
2023-11-19 02:36:41+00:00,84,34.6
2023-11-19 03:06:41+00:00,85,33.5
2023-11-19 03:36:41+00:00,86,33.5
2023-11-19 04:06:41+00:00,87,27.9
2023-11-19 04:36:41+00:00,88,26.8
2023-11-19 05:06:41+00:00,89,29.0
2023-11-19 05:36:41+00:00,90,33.9
2023-11-19 06:06:41+00:00,91,36.2
2023-11-19 06:36:41+00:00,92,35.7
2023-11-19 07:06:41+00:00,93,27.4
2023-11-19 07:36:41+00:00,94,30.8
2023-11-19 08:06:41+00:00,95,26.0
2023-11-19 08:36:41+00:00,96,34.2
2023-11-19 09:06:41+00:00,97,34.8
2023-11-19 09:36:41+00:00,98,32.2
2023-11-19 10:06:41+00:00,99,29.1
2023-11-19 10:36:41+00:00,100,35.7
2023-11-19 11:06:41+00:00,101,33.6
2023-11-19 11:36:41+00:00,102,32.7
2023-11-19 12:06:41+00:00,103,31.1
2023-11-19 12:36:41+00:00,104,33.6
2023-11-19 13:06:41+00:00,105,29.6
2023-11-19 13:36:41+00:00,106,31.7
2023-11-19 14:06:41+00:00,107,28.0
2023-11-19 14:36:41+00:00,108,37.0
2023-11-19 15:06:41+00:00,109,32.0
2023-11-19 15:36:41+00:00,110,30.6
2023-11-19 16:06:41+00:00,111,32.0
2023-11-19 16:36:41+00:00,112,31.4
2023-11-19 17:06:41+00:00,113,29.0
2023-11-19 17:36:41+00:00,114,31.6
2023-11-19 18:06:41+00:00,115,37.2
2023-11-19 18:36:41+00:00,116,30.2
2023-11-19 19:06:41+00:00,117,32.2
2023-11-19 19:36:41+00:00,118,29.2
2023-11-19 20:06:41+00:00,119,37.5
2023-11-19 20:36:41+00:00,120,34.8
2023-11-19 21:06:41+00:00,121,28.1
2023-11-19 21:36:41+00:00,122,37.4
2023-11-19 22:06:41+00:00,123,31.3
2023-11-19 22:36:41+00:00,124,37.1
2023-11-19 23:06:41+00:00,125,33.1
2023-11-19 23:36:41+00:00,126,25.3
2023-11-20 00:06:41+00:00,127,32.8
2023-11-20 00:36:41+00:00,128,31.0
2023-11-20 01:06:41+00:00,129,34.9
2023-11-20 01:36:41+00:00,130,31.2
2023-11-20 02:06:41+00:00,131,22.5
2023-11-20 02:36:41+00:00,132,34.7
2023-11-20 03:06:41+00:00,133,26.3
2023-11-20 03:36:41+00:00,134,23.4
2023-11-20 04:06:41+00:00,135,28.8
2023-11-20 04:36:41+00:00,136,27.2
2023-11-20 05:06:41+00:00,137,37.4
2023-11-20 05:36:41+00:00,138,24.9
2023-11-20 06:06:41+00:00,139,30.3
2023-11-20 06:36:41+00:00,140,37.2
2023-11-20 07:06:41+00:00,141,24.5
2023-11-20 07:36:41+00:00,142,36.1
2023-11-20 08:06:41+00:00,143,31.6
2023-11-20 08:36:41+00:00,144,23.8
2023-11-20 09:06:41+00:00,145,26.9
2023-11-20 09:36:41+00:00,146,29.8
2023-11-20 10:06:41+00:00,147,33.9
2023-11-20 10:36:41+00:00,148,37.0
2023-11-20 11:06:41+00:00,149,19.9
2023-11-20 11:36:41+00:00,150,36.6
2023-11-20 12:06:41+00:00,151,29.7
2023-11-20 12:36:41+00:00,152,27.4
2023-11-20 13:06:41+00:00,153,30.9
2023-11-20 13:36:41+00:00,154,36.6
2023-11-20 14:06:41+00:00,155,27.0
2023-11-20 14:36:41+00:00,156,36.7
2023-11-20 15:06:41+00:00,157,30.8
2023-11-20 15:36:41+00:00,158,34.5
2023-11-20 16:06:41+00:00,159,28.2
2023-11-20 16:36:41+00:00,160,23.2
2023-11-20 17:06:41+00:00,161,32.8
2023-11-20 17:36:41+00:00,162,36.4
2023-11-20 18:06:41+00:00,163,34.2
2023-11-20 18:36:41+00:00,164,30.1
2023-11-20 19:06:41+00:00,165,35.4
2023-11-20 19:36:41+00:00,166,37.8
2023-11-20 20:06:41+00:00,167,34.6
2023-11-20 20:36:41+00:00,168,32.2
2023-11-20 21:06:41+00:00,169,33.3
2023-11-20 21:36:41+00:00,170,31.1
2023-11-20 22:06:41+00:00,171,35.6
2023-11-20 22:36:41+00:00,172,36.3
2023-11-20 23:06:41+00:00,173,35.6
2023-11-20 23:36:41+00:00,174,34.9
2023-11-21 00:06:41+00:00,175,35.0
2023-11-21 00:36:41+00:00,176,29.3
2023-11-21 01:06:41+00:00,177,35.6
2023-11-21 01:36:41+00:00,178,26.0
2023-11-21 02:06:41+00:00,179,37.0
2023-11-21 02:36:41+00:00,180,33.6
2023-11-21 03:06:41+00:00,181,29.9
2023-11-21 03:36:41+00:00,182,33.0
2023-11-21 04:06:41+00:00,183,29.2
2023-11-21 04:36:41+00:00,184,31.3
2023-11-21 05:06:41+00:00,185,25.3
2023-11-21 05:36:41+00:00,186,32.8
2023-11-21 06:06:41+00:00,187,31.1
2023-11-21 06:36:41+00:00,188,31.8
2023-11-21 07:06:41+00:00,189,37.3
2023-11-21 07:36:41+00:00,190,20.8
2023-11-21 08:06:41+00:00,191,30.9
2023-11-21 08:36:41+00:00,192,34.1
2023-11-21 09:06:41+00:00,193,28.6
2023-11-21 09:36:41+00:00,194,38.0
2023-11-21 10:06:41+00:00,195,32.7
2023-11-21 10:36:41+00:00,196,31.3
2023-11-21 11:06:41+00:00,197,28.4
2023-11-21 11:36:41+00:00,198,28.0
2023-11-21 12:06:41+00:00,199,33.2
2023-11-21 12:36:41+00:00,200,23.0
2023-11-21 13:06:41+00:00,201,35.6
2023-11-21 13:36:41+00:00,202,27.5
2023-11-21 14:06:41+00:00,203,32.2
2023-11-21 14:36:41+00:00,204,34.4
2023-11-21 15:06:41+00:00,205,30.2
2023-11-21 15:36:41+00:00,206,29.0
2023-11-21 16:06:41+00:00,207,36.6
2023-11-21 16:36:41+00:00,208,29.5
2023-11-21 17:06:41+00:00,209,27.9
2023-11-21 17:36:41+00:00,210,30.9
2023-11-21 18:06:41+00:00,211,37.8
2023-11-21 18:36:41+00:00,212,24.3
2023-11-21 19:06:41+00:00,213,33.5
2023-11-21 19:36:41+00:00,214,32.7
2023-11-21 20:06:41+00:00,215,29.5
2023-11-21 20:36:41+00:00,216,33.8
2023-11-21 21:06:41+00:00,217,29.1
2023-11-21 21:36:41+00:00,218,35.4
2023-11-21 22:06:41+00:00,219,31.9
2023-11-21 22:36:41+00:00,220,30.4
2023-11-21 23:06:41+00:00,221,36.1
2023-11-21 23:36:41+00:00,222,31.3
2023-11-22 00:06:41+00:00,223,31.4
2023-11-22 00:36:41+00:00,224,25.6
2023-11-22 01:06:41+00:00,225,32.4
2023-11-22 01:36:41+00:00,226,30.1
2023-11-22 02:06:41+00:00,227,31.3
2023-11-22 02:36:41+00:00,228,34.1
2023-11-22 03:06:41+00:00,229,32.4
2023-11-22 03:36:41+00:00,230,32.3
2023-11-22 04:06:41+00:00,231,27.8
2023-11-22 04:36:41+00:00,232,29.3
2023-11-22 05:06:41+00:00,233,34.5
2023-11-22 05:36:41+00:00,234,25.9
2023-11-22 06:06:41+00:00,235,30.4
2023-11-22 06:36:41+00:00,236,30.3
2023-11-22 07:06:41+00:00,237,37.0
2023-11-22 07:36:41+00:00,238,24.7
2023-11-22 08:06:41+00:00,239,37.1
2023-11-22 08:36:41+00:00,240,30.6
2023-11-22 09:06:41+00:00,241,28.1
2023-11-22 09:36:41+00:00,242,33.1
2023-11-22 10:06:41+00:00,243,36.0
2023-11-22 10:36:41+00:00,244,32.4
2023-11-22 11:06:41+00:00,245,33.5
2023-11-22 11:36:41+00:00,246,37.6
2023-11-22 12:06:41+00:00,247,32.8
2023-11-22 12:36:41+00:00,248,33.9
2023-11-22 13:06:41+00:00,249,21.6
2023-11-22 13:36:41+00:00,250,29.9
2023-11-22 14:06:41+00:00,251,27.0
2023-11-22 14:36:41+00:00,252,32.6
2023-11-22 15:06:41+00:00,253,37.6
2023-11-22 15:36:41+00:00,254,33.9
2023-11-22 16:06:41+00:00,255,33.4
2023-11-22 16:36:41+00:00,256,31.4
2023-11-22 17:06:41+00:00,257,24.5
2023-11-22 17:36:41+00:00,258,37.7
2023-11-22 18:06:41+00:00,259,33.0
2023-11-22 18:36:41+00:00,260,33.4
2023-11-22 19:06:41+00:00,261,36.2
2023-11-22 19:36:41+00:00,262,31.9
2023-11-22 20:06:41+00:00,263,32.6
2023-11-22 20:36:41+00:00,264,34.8
2023-11-22 21:06:41+00:00,265,30.7
2023-11-22 21:36:41+00:00,266,31.4
2023-11-22 22:06:41+00:00,267,28.3
2023-11-22 22:36:41+00:00,268,33.1
2023-11-22 23:06:41+00:00,269,24.9
2023-11-22 23:36:41+00:00,270,30.2
2023-11-23 00:06:41+00:00,271,27.2
2023-11-23 00:36:41+00:00,272,31.5
2023-11-23 01:06:41+00:00,273,37.8
2023-11-23 01:36:41+00:00,274,34.3
2023-11-23 02:06:41+00:00,275,34.6
2023-11-23 02:36:41+00:00,276,25.7
2023-11-23 03:06:41+00:00,277,27.9
2023-11-23 03:36:41+00:00,278,27.9
2023-11-23 04:06:41+00:00,279,34.8
2023-11-23 04:36:41+00:00,280,33.1
2023-11-23 05:06:41+00:00,281,27.2
2023-11-23 05:36:41+00:00,282,27.5
2023-11-23 06:06:41+00:00,283,31.4
2023-11-23 06:36:41+00:00,284,33.6
2023-11-23 07:06:41+00:00,285,31.1
2023-11-23 07:36:41+00:00,286,31.5
2023-11-23 08:06:41+00:00,287,26.4
2023-11-23 08:36:41+00:00,288,37.4
2023-11-23 09:06:41+00:00,289,31.5
2023-11-23 09:36:41+00:00,290,30.6
2023-11-23 10:06:41+00:00,291,35.7
2023-11-23 10:36:41+00:00,292,31.9
2023-11-23 11:06:41+00:00,293,29.7
2023-11-23 11:36:41+00:00,294,28.6
2023-11-23 12:06:41+00:00,295,32.2
2023-11-23 12:36:41+00:00,296,34.6
2023-11-23 13:06:41+00:00,297,33.3
2023-11-23 13:36:41+00:00,298,35.4
2023-11-23 14:06:41+00:00,299,27.1
2023-11-23 14:36:41+00:00,300,29.1
2023-11-23 15:06:41+00:00,301,37.8
2023-11-23 15:36:41+00:00,302,34.3
2023-11-23 16:06:41+00:00,303,34.2
2023-11-23 16:36:41+00:00,304,27.2
2023-11-23 17:06:41+00:00,305,26.7
2023-11-23 17:36:41+00:00,306,33.8
2023-11-23 18:06:41+00:00,307,32.9
2023-11-23 18:36:41+00:00,308,30.4
2023-11-23 19:06:41+00:00,309,31.8
2023-11-23 19:36:41+00:00,310,32.6
2023-11-23 20:06:41+00:00,311,37.9
2023-11-23 20:36:41+00:00,312,30.1
2023-11-23 21:06:41+00:00,313,36.1
2023-11-23 21:36:41+00:00,314,31.0
2023-11-23 22:06:41+00:00,315,21.4
2023-11-23 22:36:41+00:00,316,32.8
2023-11-23 23:06:41+00:00,317,23.2
2023-11-23 23:36:41+00:00,318,32.1
